id,date,tracking_number,material_transfer_agreement_id,sender_id,receiver_id,created_at,created_by,updated_at,updated_by
05f62222-9acc-418e-847c-e3f25cd077ba,,,1da684e6-f7c1-4c37-9125-8addddeeead6,2af0a2f8-7a88-44de-b263-de3e47cc78b7,1c05e82f-9b3b-4297-a332-c7ebea5213c0,,,,
04e402ec-cdc2-40ce-bf1c-edc325157ff6,,,38167d01-d0ce-4ca4-a75a-80ece7263963,c822489c-79e3-46d7-852d-ab9ec1d25c71,c6247c3e-9e60-4cdc-8662-843cd736adcb,,,,
e583b224-7176-4693-b3ed-57cbdc050b5c,,,53813b14-ac75-4254-88c6-956855b58a84,98eeaf9e-efc0-4021-a311-c0bfd123ba76,30ac4b60-57e8-4783-90d3-7ac36ec5c3ef,,,,
698b99f3-d65d-4d2d-9780-0ecfe84cd0d5,,,ea7eccdd-0504-4eeb-8f9a-aa62303f430d,406bbb6f-2506-4482-84e9-113470aa6791,1b645f2b-1ff4-496b-a8b0-96686672650b,,,,
33a24b59-0168-45e5-ad79-5de32cf3657e,,,a4bf4750-93f2-4275-9bf5-d7ab9174c44d,520bb660-2025-4476-a17b-4853aadcdef9,44232545-28d1-4f0d-b464-743c61bcd9be,,,,
ca2b1f8e-6c9f-4908-b452-b3a0b5b4dd89,,,d1dd004a-6b13-403e-9a98-b87bc7df8262,10b0a019-49ab-40a3-a267-e1d55270fcd6,b9ee45c7-4277-4da6-bf37-a15ed7132004,,,,
f9bb6f9c-a3fc-41c1-8e0c-bccd16ea8d32,,,35ac3794-c332-45ff-aff6-1338755ee423,c1bfc3c8-a757-43b6-9ea7-d6a97c2e4637,ccace2a5-8722-4447-8c2a-840c81129af7,,,,
89796957-4129-4161-9be8-a4b1ae22e5ff,,,085caa17-3873-41f1-9862-7f7d4d22cf80,67998797-599e-430f-a63b-f1df781c9257,9d63601c-d9a2-4afe-afc7-dd22be7ad0bf,,,,
f5be72f2-3f53-484d-92c8-74a23b15631f,,,63d59212-9130-4592-93e5-7bd217ef0565,1fc9812a-f7c5-4cf9-9dbe-21a218acc6f0,c6247c3e-9e60-4cdc-8662-843cd736adcb,,,,
b1ce66a5-b73a-4f67-872d-77139720ba62,,,f41fa2ab-864a-4459-98ea-b5344f2a696d,f1d9a752-ff80-4e5e-84cc-3dc0e184aea4,696f0dfa-7797-45f5-a2f9-a5f344a5161b,,,,
8d027fce-637b-4898-a82f-c43d749464a8,,,53813b14-ac75-4254-88c6-956855b58a84,8a7acae5-46bc-4e61-bc5b-63d2eacc3258,a2fd9c3c-802b-41e8-9afd-cd3ab4154807,,,,
8a8eb4a6-1537-420f-bd98-bbed14398a11,,,42ba4679-7e84-487a-aaee-6775e9930a3e,c26c1d9a-3885-46f5-aad2-5b0ea1ad1f8f,d15e3a21-5d6d-4d77-816b-8d39e6628234,,,,
71f95a08-fe63-4cf2-8023-3fa06219fc6c,,,ae603a23-ac09-4f27-9bcd-63e7aa91b558,f45ca56a-7182-4c33-a8b2-dc7a1d247105,67998797-599e-430f-a63b-f1df781c9257,,,,
eac3b0f1-18f3-48c3-ab31-24edd5dfc62e,,,3c5daa57-d6fe-4d92-8ca4-0dba9ee4b793,78522623-f501-4e08-800c-367092bb1adb,6e4086b6-dff8-4d99-a22b-0fb6bde0e3e1,,,,
b6f63e67-30e3-42d7-9145-99a969892b33,,,7d17d2b9-b0a6-4872-a7f9-8417cd5c3f0a,f1d9a752-ff80-4e5e-84cc-3dc0e184aea4,c26c1d9a-3885-46f5-aad2-5b0ea1ad1f8f,,,,
91df671b-bb52-4f41-a877-747efdfc8d80,,,5e77ae42-82b1-410e-97cf-998fd76a1e91,7af3dc5c-2577-4915-bb11-b3efb17e6c66,3ddbbb36-b7b3-41f7-b8d6-ba0eae3ca140,,,,
246e115f-2c5c-4d90-8008-6ca13c590072,,,7fe37c7b-1cd4-414e-a91c-ce3ae9f28088,95735f44-42de-4d21-b1df-418c20867d17,64d10ac6-8e71-429e-b080-6be79a9e9111,,,,
b8c68079-b90a-4c71-ad81-58d7c852061e,,,aa5e81c6-87a0-482b-97af-bc62f45e8321,26ecd30a-8fd6-4a8b-ba0f-47dc84e3ff97,a0f3be9f-4948-4121-a3f2-b53601548e28,,,,
b0653d7a-561f-45eb-b304-b7d6280a1e56,,,2f033d8c-4ebf-4da0-86de-07d733485848,7af3dc5c-2577-4915-bb11-b3efb17e6c66,64d10ac6-8e71-429e-b080-6be79a9e9111,,,,
d94ab12b-1007-42e6-8ed6-6fcc93bea4eb,,,411413d8-ee07-431d-8168-7d11da5cb404,2908e42f-0682-4ff6-b7d2-225621e4e9bd,30ac4b60-57e8-4783-90d3-7ac36ec5c3ef,,,,
ddd7ac2b-4029-40fb-a63a-b2c0baf26450,,,45525fdc-4743-4ffb-b7c9-bc786787b880,6c1135cf-cc29-4f7d-a6e6-096837639c0d,0e186bfe-2e40-4bca-a947-b07c16a9a52d,,,,
302da644-7043-4e30-8711-db780ba9286a,,,38167d01-d0ce-4ca4-a75a-80ece7263963,c513a617-c0d3-46ca-b1f7-a5e8d619358c,2af0a2f8-7a88-44de-b263-de3e47cc78b7,,,,
4284b7a6-1dd9-43c4-98d8-a6f0b512810e,,,c22aadd1-dfdd-465d-9519-2b6b9957d0fc,91342aa6-6e5d-4008-a12b-367a970fd2af,fdd1026c-42d0-46f6-8dd4-be53ec9829d0,,,,
2705bd42-73d2-4fdb-8ffd-58db01235814,,,42ba4679-7e84-487a-aaee-6775e9930a3e,34334460-2af2-4c8e-9f29-028109165ec4,0e186bfe-2e40-4bca-a947-b07c16a9a52d,,,,
cfb2b42c-e712-4aed-a641-0b06fbf40169,,,88b5d6d6-18cf-4314-b8cf-928c9db96043,57918bad-27dc-4c9d-8d8a-c2d9e43a6755,c822489c-79e3-46d7-852d-ab9ec1d25c71,,,,
