molecules_id,organizations_id
6cc3e20a-14df-48a9-bbb0-9bc62f43d670,ce65fee7-caa0-4fc3-b4af-20e412b4f3ea
4a8d71a1-30b6-41ee-8bc3-7c047e2597f7,af0ba8b8-ddda-43a0-a4ea-17a57878f775
4b5d8391-627c-4a52-a728-8dabcf7962be,3c9a3804-2cad-4fe3-a3df-8660cbdf8e9a
7f3aacff-9b21-48b8-b0af-55f72e6a56c1,a8088389-3e79-4de3-983e-9c63136ef837
7306aa67-7b3a-4a0d-9c1c-3522d582ed8f,bf88a62c-f7b1-4247-b3a8-63aa62c8fc66
a46cbfa2-fb8a-4c2f-9a0e-e1a3056ae517,d4fdbaf4-6d98-4d06-8e61-e3759f6a6007
695973af-e407-44aa-a9e1-9c5bdad5c3e3,873f2e7e-749b-4296-8a43-eb0ef7e8c5e9
5da1b0af-7409-4265-beae-21d70d2364f7,62e1c39f-cd2f-4c4e-aa4e-2ddd0502eef5
0697ca24-2cbd-494b-bd68-67391df0dd9e,7fc1555d-9d26-4196-bac4-14f45d1e7fce
7f3aacff-9b21-48b8-b0af-55f72e6a56c1,22a3896b-fe8e-4667-bfc7-785aa8e2ec16
8d13ccf0-38d1-4bbc-8d06-f42bd4be9011,435fe901-0ff7-4d29-81d9-6a03e05f7f0c
6a1dbe13-4caa-436d-ac74-c3e7d0075a03,1321f537-0a32-457a-85fd-a6a6f33d22b2
012931be-f340-4982-8728-d23098f35e32,f4a787f0-c35f-49cb-b3e1-b7429be47ea8
273f4600-dfa6-40cc-a9b1-333133fa5fc1,d698e48a-8a4e-4abd-ab15-6917a8d80b12
13e4a626-0e5e-47e9-b6ba-8e5e6fbd4f16,485f0d23-a646-4e09-9d70-67980403b92c
99354a21-8e5f-4a49-84fc-d980bc690e3b,20a8bc64-d9f8-4df2-bf9f-590b370017dc
778db515-62a1-4951-9a1c-acce2bf2bc5a,8e05c543-8ff2-4b4a-969f-a51229a8dd4f
49acd537-bb58-435e-b41d-3b257ec7cc64,b16db7db-7532-4234-9870-16eab12fc071
d29e4a2e-a53b-495a-801a-2117c7bb7b86,0490f42e-119b-4bde-9a70-41e88b33081e
da44db18-773f-48ef-b158-c2855d76cf4c,84a9ce33-562f-4e20-a832-66d6d3c0aba6
10d4b394-b38d-494a-ac6b-228198f5de52,f68d8b28-e1ba-4e42-a1d2-0796f60a3314
683f8225-d804-4184-a5c2-9423ad5d4c00,0de929a4-ceb4-408f-8c3c-ca92b8b72dcb
80f15ffd-e4aa-4a9e-a9c0-32bdee9bf7f3,f0a5c5ac-6b07-4a95-a091-5ef70e0c477f
cc768891-1735-4647-aa8b-62d6b62304f7,d3a1c8fd-da2a-47dd-b378-044101ea805b
cdd46cbf-1f20-4033-87ee-21cdb1b39c45,0490f42e-119b-4bde-9a70-41e88b33081e
