shipments_id,viral_preps_id
f4779821-9b62-4a77-b8c3-78a760e44fd1,da1e9d09-9581-4ff5-af7e-9d5a763477d7
1cc600aa-7b3e-4069-9608-6628ecfbf5e8,a835ac0d-b150-4ca7-8569-7659b49b8fd4
03852a0f-692a-451b-be8b-57ac276870b0,421667d8-5ea7-4a22-b794-35d91a21731c
ff95d56c-18c6-4219-bedf-ca20aac93df0,ea836875-7be7-4787-9f6a-aae93895c17e
d4c934f1-c26f-40a6-9a7d-e147ae860362,032ee7ee-8bac-4e86-94e5-3072579346fe
6d31c888-c319-4a65-816d-52d45f3f7023,d11b7939-055d-4f2f-86e0-fd3ae4a5e626
58df54d2-c746-4c7f-9963-bf0d4c36a638,6c9a2382-558c-4b8c-a2eb-e8d5f8534e37
43e94fba-8e98-42bd-94b5-9f09652865ff,f44b4719-614d-4afe-bf1c-b1ada02867a0
07878fc5-98b1-476b-ba4c-0c0b22578eec,2212365f-20e7-4940-9db0-00587c410548
ab9336ff-7e28-4b0c-9c17-615ce3cb386f,7f7a9e2c-867f-4e6b-a76e-c97e5bf71367
4b5c586f-5a16-41ab-9ea3-60866b110e61,0f2869dc-2179-46e7-bf4d-e66ab58dc4a5
a3a1d3b4-37b1-4d58-9f9b-23ec23acea60,5db3538f-c378-43e8-9bbe-5f6a9121efc2
f321ccae-21cb-4b2c-aaf7-9e3dd234dd6e,421667d8-5ea7-4a22-b794-35d91a21731c
1e4478de-9952-4aff-91ad-b24d57eab1b7,3fcc08c1-d680-42fa-b2ed-de605516683b
c482e176-cacc-4c86-bdbd-3779727fcdc3,5a9d7b3c-d5ee-46fc-a135-66e59f7aba6a
0dcdbbc6-c534-4806-8d12-30d33a5c3501,5b801642-eeb1-4cb0-802f-7b05459cd3ce
007702ef-69fb-4839-8a96-153a3f2d0f36,8980d940-e395-4ecc-a0b3-7b0fdc00bf84
fb8e12c8-b4f1-40e4-952b-80eeafa13c50,0f2869dc-2179-46e7-bf4d-e66ab58dc4a5
58df54d2-c746-4c7f-9963-bf0d4c36a638,6c59bdcb-499d-4d08-935d-472fa4a1319a
d33b176a-45e3-429d-82c5-893e10020c62,3712aa96-b077-476c-a560-330ba9caca29
07878fc5-98b1-476b-ba4c-0c0b22578eec,3ee77cdb-2c9d-45e5-9c87-0dec354d7d30
c31c1375-f22d-4b11-9e6e-b197491b71ff,5db3538f-c378-43e8-9bbe-5f6a9121efc2
07878fc5-98b1-476b-ba4c-0c0b22578eec,7c46ec92-39ee-4512-8482-5ee40a32b8cb
879b40a1-64ed-4bda-b69c-94a77c32b47e,5a9d7b3c-d5ee-46fc-a135-66e59f7aba6a
ab9336ff-7e28-4b0c-9c17-615ce3cb386f,46734985-34a9-4299-997e-980b951e9928
