material_transfer_agreements_id,viral_preps_id
ac5902ae-ccd0-4850-9335-4957404eb0b4,ed0319c8-3638-4148-99a7-6fa2fc946223
89502b44-4c56-488f-bd9e-3dd79bab48c9,6929e8c9-f2b1-4c34-9673-4e34d2cb8b11
c0578cc6-2a52-48f3-9fdf-af39f42a29bb,098ffb48-4b3f-4012-8b1a-8934eb0866af
fd763b28-776e-4a24-9ff5-943f00592ec4,7f7a9e2c-867f-4e6b-a76e-c97e5bf71367
ac5902ae-ccd0-4850-9335-4957404eb0b4,e2d65942-5cf9-4c00-bc19-9a30bfe69426
cfdc50d0-e994-45a3-9538-ec1642600d1c,a7f567d8-211a-41cb-9ab3-83ee0fa81643
28f033bd-1ae6-433f-b4f8-483685eb2f9b,0cfbb176-6636-4b13-a0e4-8df17a7a8f80
4bbf7751-876f-4430-a677-cbbcecaaab1c,02f93719-7d18-4bef-bbd0-d551d4c99f6f
a854b4e8-e147-4b11-8b13-fe65edfd090f,845ede48-1a28-43d1-8814-f4f543826fcb
085caa17-3873-41f1-9862-7f7d4d22cf80,845ede48-1a28-43d1-8814-f4f543826fcb
d970f27b-01d6-408a-a768-ce69609dcc1b,6e5f8ec8-3b74-46c9-bdc1-47edf80d0973
98d341b9-0bb6-4570-9033-284bac33086f,8ee7b4f7-a05d-4049-ab6d-6c5a5430e9f7
f6d1b7ba-b22e-4fed-8bfb-1021d3a2d509,061d6431-e1ab-4015-a166-448e168854fe
361dc096-660f-4987-8724-7f38f53a0c79,95018b04-9b72-4b23-8718-e7f8e1a607dd
fd763b28-776e-4a24-9ff5-943f00592ec4,46f02c56-1cc7-4a89-8a09-7913693c802d
dc8f9a59-5a8c-4384-9d9b-9ac3df624fd2,4dd65319-a50f-4fcb-9c71-81604fe28e7a
55cdd16d-074b-427e-bb84-b4186a27e251,bdba08c2-58c5-451e-99fe-98b137eaa6f3
a9dccde7-b38d-49ae-909b-cc5e412d318e,009a9b7e-c367-417d-a51a-3f2fdc0e40e7
fd763b28-776e-4a24-9ff5-943f00592ec4,8e85bd6d-0131-464d-be5c-ec1bef2a07f5
085caa17-3873-41f1-9862-7f7d4d22cf80,6c59bdcb-499d-4d08-935d-472fa4a1319a
0493d5e7-c5fd-4b41-80c5-b9de7d99e84c,6d89a8f3-d37b-41f7-b743-c9a072a89709
4340bc3d-35ad-4cbf-9532-9a61b98f5b28,5a9d7b3c-d5ee-46fc-a135-66e59f7aba6a
06c6d03c-1e3e-4112-ac85-a6e5355e89e6,2ed6994a-34ec-4dbd-b99d-37770ee70a93
932af154-c545-458d-accb-0654668a6445,52e6ac5d-0f69-472f-9f9b-8a2d748e98fa
f6d1b7ba-b22e-4fed-8bfb-1021d3a2d509,254da958-85fe-49f9-b60f-b15f0e7f2b4d
