transgenic_line_types_id,transgenic_lines_id
4142b2e5-c01a-4877-827f-65d583872b39,0edc6f86-14cb-4365-b789-3ecb11a8c807
217c3aa5-fc23-402b-a04d-b63aed26f5b8,ffc8dd0c-c062-4cba-a067-3d84644f727d
0da75ba6-e0f6-429a-bee8-f2654f7b997e,1fde7068-dfb1-4364-878d-fa22bb1d3c02
b52232e9-af06-4076-a46e-0cd808fcda89,9d25425e-cdca-4740-973c-7c7b2ddcfa48
35e450d9-ed79-4a05-bbaa-f2399235121e,60b3de01-52a0-4859-a77f-ece97e1ddbef
98333193-c3b1-448c-9ae4-75e8b911137b,64c8228b-3e90-48c2-bdf6-17e03082ffb9
e819d7da-7a72-4198-bd3c-09d3a7b05399,fb86f2f6-cc9a-49c7-a3be-3ffcc3668cfc
598e2ed5-ba59-4dc9-8255-17e1cf772fda,f625437b-1be0-41f6-8a24-b658d279d756
2164073e-cf30-4152-b5c3-337b78eeb617,bbf560a2-e0d8-484d-83af-f04d572fdb45
53079b78-bb8e-44fb-9acf-c61dcb98abd5,42dd93f2-4410-440d-a87e-0a27a1c14a4a
6b8501e3-6ab9-46a2-9b1d-c7326753c339,3e7cd8de-1add-4c3b-9639-a78fce4bdaff
d4db4df5-5c20-433b-9073-f758521f48d7,f62c7d11-4992-4c63-9462-bdf04cb6ee9b
66358cb1-a170-4168-b54b-ee9197b41586,c73a40da-2015-4be8-8b4b-5bd1bf1f54ba
9f6e3bf0-0d30-426f-aba9-dd17c39527ba,5235b46c-9f5c-4c80-b6ae-f80c673f29fb
1fb0c735-df58-4727-b511-1a5681f96869,bbf560a2-e0d8-484d-83af-f04d572fdb45
17d07f1e-98f6-42c0-8f37-c7c3944b784c,ca6d1874-b1c2-41f4-99ab-c89cff40670c
586035eb-d207-40e8-abfc-a82fd889e669,5fba0678-dcfe-4bda-b3e9-9285bba157bd
4ee1ddd7-4b53-4b0f-9ecf-ca7303387a72,e251fa65-924a-433c-8783-3c2878927792
0a0124cb-bdb7-4bc1-9651-63e2a98da4ba,bb2f133d-7047-4ffe-8d6c-ed61d3ed9da9
10be697e-a38d-4305-a2ae-2dc4f678dcb7,6194fa09-b658-46e5-b1da-e9e802302c16
214c0159-5ce9-4e02-aacd-ab8a32b220f6,13eb5976-33e6-43fe-87ae-7a6e3ee1e3f3
2164073e-cf30-4152-b5c3-337b78eeb617,6d4d79d0-be01-4488-b773-51898e4bf0c8
602fcd89-6635-43e0-878b-93986fdbff84,51d1e254-3854-4b77-82e8-c9dc10d2a620
1118181d-58f4-4157-8a40-fe90e194fc99,37740668-159f-49d5-9e25-1413a1f30cda
ba5d8c61-0a14-4ca3-9d13-0e5cb55cfa6d,f62c7d11-4992-4c63-9462-bdf04cb6ee9b
