contacts_id,patents_id
7aac335d-79f9-4aca-a73c-ad7bb81b57f2,35cfe707-d2de-4e8b-b93c-861c44113adf
5547bcb6-e08c-4257-bfd8-03815050455d,ddecd846-6f50-4287-9f43-fdf9a2a48b06
3486f86c-8d9b-4b58-9eae-849de651c7f1,2f96a7db-b59c-437f-8815-806e89d42f86
64067b6d-6118-4723-a192-439b6871da5d,a425a219-ac4d-49d8-9be9-bbc2c7c1997a
a3893adc-8718-41f6-98dd-091c1284f767,f7733abb-0577-4641-9ca9-b5575050722f
ca9f6981-1e58-4499-b875-50a3e5bca4dd,77d18fc5-03cd-498f-931c-bf0e7b0ddad9
6d638f53-9baa-4309-9c08-4187601a66e7,a425a219-ac4d-49d8-9be9-bbc2c7c1997a
a6299918-094b-414e-b1ae-feb443697e5d,f5520db7-f887-4d9b-8610-4d43a8c1de55
ffa948b6-598b-4714-91ac-721dd834570a,15b2589b-7899-4c6a-a338-0a6a14278799
7f385eb0-e77d-4813-89f5-1a6b28741054,1cb60b34-332a-4f90-8275-1b7546da7e66
2d6cb919-6a53-44e3-a27c-842d6f6ed2fd,d703cfdc-fa8c-4ae6-b7cf-6c561240e2c7
7aac335d-79f9-4aca-a73c-ad7bb81b57f2,f9baaaed-fd47-4415-aaa4-bce371ab2486
2a712368-7122-4152-9b9a-3003de31e19a,35cfe707-d2de-4e8b-b93c-861c44113adf
0e032f55-ef76-4877-be18-998497908fd4,ea9a44e2-9844-4bd3-88f8-4addafb1d30c
76a125be-c23c-4197-80af-d3708cbd0d94,489ad67b-9a65-4a4a-9e7a-5d25fbeb6179
02f13ad3-052e-4e66-aef8-b1b8b0168da9,1a67a42a-3ee2-4a4f-8268-9a394871d10c
b77724ef-4206-4626-b542-4e8d66e3b58b,524bac64-57a3-4b67-a531-d72b2f642bdb
856fc52b-34ec-44af-ae4c-a740a8b6ad9b,35cfe707-d2de-4e8b-b93c-861c44113adf
8d32f96e-5e43-475f-bc54-1ebb656fd7c8,c229ac89-0622-4cd7-a493-2448a8a80194
35013655-8181-497a-91f3-ffea16f7a26e,a92c17df-090b-495f-9187-2c1ff05de396
2998802e-0439-42fc-bd2c-bb9ddc4aaa2a,cc107bbc-c3bb-4497-bafa-979bb569bf2a
a9a46ebd-2a6d-40dd-8c47-94337e5716d4,9ad7d568-8dc1-4c32-b3a6-d5186add1846
bee34494-36f6-4c8f-81f2-edf0531e5de9,0dee55f9-0c5d-4f20-bf31-afaceb085faf
bfe9fae2-8d5c-4736-bae8-878b6c9efd36,c2cecc72-70bd-487a-83b3-78f667b0d72f
b8841a6d-add8-4d66-8f1d-e2cfd54b6d1c,38869e14-cb28-4697-9641-4c98cebe3fb8
