embryonic_stem_cell_lines_id,mouse_lines_id
c77a621d-ce51-4a19-a4c8-ead2e39bda31,498c5b43-107b-4a6d-8e43-7dda87dfa7d6
a43239ad-de44-4a7b-a7e5-7de4c4e81cbe,b0396182-6de3-465f-bbf5-c5c4d2d6c115
383c8dbd-73e4-41dd-90cd-7df079332da0,ec342490-1e24-465b-84e5-f646caa2537e
4a4fb1a3-4cc2-4cc4-8c0a-26fcc4f88410,b83f4222-ef63-4ccd-aa25-a5cce1562c53
6925e507-a19b-465a-a8df-ae78668d3995,008e637f-29cb-44fc-9ebf-38ee7d6269ae
d05b2507-3ab3-41f4-ad32-0f17c1cd8ebf,13eb5976-33e6-43fe-87ae-7a6e3ee1e3f3
7fc8a680-e755-47e1-ade3-4b659ffadae8,42dd93f2-4410-440d-a87e-0a27a1c14a4a
8707def7-18f1-486f-9e4a-ac01773b0bae,c8f30f9f-e8ce-44c6-b136-a16eb70ea1d9
16ed7ae8-6ad9-410a-8fca-a93c26ec74c2,72c18f0e-8e81-49d4-b04c-324935607a7b
d2aaffc2-b886-4586-983f-705b93767f2d,6284836e-02e6-4b1a-810d-7548c430f44f
2150ebe7-0ccc-483f-9f7b-05dac5bcaae9,c9135056-7dad-4e3d-bc80-c0f129ef56cc
6635dab7-d673-4672-80f3-f5afc8af71a5,9094abbf-bba8-4ded-818a-3c01e973a96a
6041950f-3045-413e-9a44-277b738f4d2b,2f5deced-1822-4135-a360-08d5ccfaa1b2
9ceeb40f-6544-4cd3-ae86-770db0c2f026,a2bd1fb5-4ef6-4e65-a6b9-89a6d18db54f
eecb802d-3819-4deb-8318-e6058d924b76,3afa0640-4a72-4354-ae89-f05d6f3362a3
2f09c953-eed7-4786-aa33-44b8bf32b102,623ce685-79b7-414b-b5de-232dd065aa86
812818ce-ba17-403b-bd9d-7e809e18da9e,90306089-6f6f-448c-9fed-1206c515cbae
a6acc684-0c41-46b3-8b4b-e703cfb3b11f,51a8f1e0-e9c6-4dc6-b73e-bfe436193e0f
21d81fa3-adb3-4114-b6d7-488b5b0e7bbb,ca8f9531-0695-4caa-a2fe-daa3b6f54469
696c6641-0f5b-419c-a253-2f804316ffbc,a0e39729-63b1-48e3-9341-1e27c1938c2b
60d5d926-dcd1-4714-bd6e-4fc3f49f5b14,17ee8341-6e2d-4286-8db8-821c72f54635
98100be9-8499-4646-9e2f-308ca1fda9f6,8a8640ea-f295-4025-b84d-023672071617
d05b2507-3ab3-41f4-ad32-0f17c1cd8ebf,1f34b1d1-6e43-466a-85eb-cb4e1234d38a
40044ea4-4676-4d79-87a2-da6490f02083,ec218e8a-55cb-4496-87df-9c0494c0030e
8707def7-18f1-486f-9e4a-ac01773b0bae,90306089-6f6f-448c-9fed-1206c515cbae
