id,locus_id,created_at,created_by,updated_at,updated_by,name,is_preferred
e965bdd0-cc67-45d5-8b3f-63cd66e86898,8a95a98f-b5f0-4279-8779-cfa5585f4c27,,,,,,
57e339c6-92ea-4cd6-ab29-1716d3b560fc,7a255e62-ddd6-4d53-92a2-4958b3c5bb52,,,,,,
ae91e96b-1fe9-4f21-9ad7-113a21b4dd89,3b27e6bb-a7b7-4f95-9361-b524321d502c,,,,,,
2e9940bd-903c-4744-a528-93e63f3ee7b9,91cb75c7-6f44-4f12-824f-8aeaccef58a9,,,,,,
20206aaa-9e67-478e-9723-87f43195d899,3ce74d31-5c9b-4b8d-8c7e-51d8aa0d5a13,,,,,,
081a04ef-bd64-41c3-90a6-c36e161e1469,07bad13c-11fa-4dae-8dc6-5540abec1e4d,,,,,,
a2112e18-4a1e-4669-8822-d8a6d13b01e5,8b36ed04-0756-4284-9397-798352e81cc9,,,,,,
f36f7d22-ba33-4924-bf9e-0e0ee852a7cc,1624a559-9790-4a70-8ecc-c07ab0d80e24,,,,,,
03219f64-07ed-4bba-b692-52c5859edc27,62ae5a05-e5e6-4b51-afa6-25cd5787d973,,,,,,
d73145a9-9cd1-4594-9ad2-d94eba65521d,165443d2-fc7c-4f71-af3d-bb28f5ece77d,,,,,,
a2e199f4-becc-4501-85da-601c25d114c4,3b117056-e146-4435-ab49-a7c9b79c36dd,,,,,,
597eee29-f004-4e49-8081-25bdac99a5db,0925d9e8-5324-4a84-9cef-e8e4093a0806,,,,,,
84c03a83-7725-48ff-abd8-2cf3051b860d,383c1307-34fa-4d69-b6ec-a053a20ce8b1,,,,,,
5c1e54d4-2c69-4f82-b2c1-b7bbba996061,f744706a-e198-429c-b5d3-371199132580,,,,,,
f41be856-ba92-41f4-8a13-f7833057071d,db7b5ba1-04a6-4a71-aec6-c8aa1481777c,,,,,,
0bde88e5-99a7-44fe-abae-8241242d708e,fc7e3b46-cf42-4b2c-90ce-9b2bdcc93a2e,,,,,,
ebb6632c-7894-4842-bae3-9c0291f9ebec,194a1cc1-7525-4ec3-b287-d07fa4d03009,,,,,,
a1fd2513-ea38-4641-ad83-9dff9488fd08,2f387965-bc11-419a-a051-ede0f2965e71,,,,,,
9f34bc6c-1cf6-4b5b-96f6-1d1f2015cc52,c63b0aec-626a-431e-8d4c-1d0a1596e912,,,,,,
427220fc-9ce3-4a1b-b905-8f329726154c,91cb75c7-6f44-4f12-824f-8aeaccef58a9,,,,,,
e3ad197c-a4cc-48f2-821b-a8d9d625b82d,6cf1f0d5-344b-4245-8e34-7f5f87ec3de2,,,,,,
6b6e77d4-71ba-4b16-b6d9-ce9af722e641,3b117056-e146-4435-ab49-a7c9b79c36dd,,,,,,
e491c617-7c8f-44b2-94bb-bc0426a139b0,fd9aef4b-fd73-46ec-b777-ffab28e2bf59,,,,,,
fb9ed232-a8e8-42ab-b94b-5e0a7f2b0f86,2d5f5c03-07c7-433a-a69f-0ff588eeefad,,,,,,
df8d4d03-a770-48e6-a64d-a9b4a60ff2b4,90a90c6c-7d24-4275-9602-b3e09614552d,,,,,,
