embryonic_stem_cell_lines_id,reagents_id
c10a1189-3753-4ed2-8c9b-818892436622,05e23d04-e42c-437d-a78b-730cdb15ecf2
d2aaffc2-b886-4586-983f-705b93767f2d,46812aff-0dff-48fe-9a39-eb48041f44ca
474cefd1-10a6-4a7e-9731-c6ba09bc6684,22e320a7-acad-459d-89c9-837ebdae29ee
6925e507-a19b-465a-a8df-ae78668d3995,05e23d04-e42c-437d-a78b-730cdb15ecf2
8707def7-18f1-486f-9e4a-ac01773b0bae,4605a043-d534-4bbf-ad85-ee0edbf7da1a
d2aaffc2-b886-4586-983f-705b93767f2d,fa10ef5f-e6c0-47c4-9b39-8b8039c0ca41
5f0b1456-b3e1-4733-aba4-3a8331617aa8,a6ef5f2f-bf56-418d-aa9d-1942de7a7cb6
bd68ae89-e8ba-44e6-89a3-39dd2c84a46c,6cbc8315-7454-42b0-84e4-d159eb4f418d
be134865-a88c-4cc4-9656-7dfd29450a8e,e9a3412c-c085-47e6-8f2f-292a998d58ed
c85abd06-512f-4cbd-a696-14ea35de03e2,c670ab25-e605-43ad-b241-d3d57584ee8a
98100be9-8499-4646-9e2f-308ca1fda9f6,d1737363-e1de-4f94-af23-d78a08992bca
34c241c8-8a20-4b9d-be47-2343621a8c9c,27e36e2c-cae8-4b95-b9d7-38036e92f5c4
60d5d926-dcd1-4714-bd6e-4fc3f49f5b14,a7aa8479-b48f-4bbe-890d-54511d049582
5bcc7ffb-bedf-42c0-a343-15c1efd9c70c,4f6e4f2a-1f3c-4f17-9e14-c79e902b7f8b
b895d336-e872-49ee-89c6-4a6e1048cdc0,b38627a1-45fd-46a4-8083-39910b3c1df8
1c526c03-7d3d-4851-91b5-005950f31199,105076ac-d645-4d6c-92bb-6d5dfe14862d
8ad94b97-27f8-4a0a-bc6c-1d14b94671f8,0d0cc6dd-cb20-4c2e-9cc7-42ed417c62b8
33cbb724-40e4-43df-acbf-d18197b89018,2a44c808-d4bc-4f26-9d9a-6d644b54015f
d4e182cf-3a1d-4e44-b927-0e73950dfcaf,77a66bca-d4ca-41a1-a836-024ee0370767
d4e182cf-3a1d-4e44-b927-0e73950dfcaf,35d40367-cff0-42b0-8e26-f5e628495dcd
60d5d926-dcd1-4714-bd6e-4fc3f49f5b14,fa231716-64ef-461a-9932-b4d9b07a2840
77e2533b-b810-4133-abd9-4e67fc5c26fd,4ee48229-a1ff-4748-aa3b-3546defd34d2
6c58555d-403f-4d9e-8c62-2bbb871b8b46,c48fd302-a1d5-4012-aca2-d5865732c30e
18534d0f-1d35-4b56-b93f-ef04cc2f7b92,f261a8b5-e96d-4260-81e4-408d1599914b
edc79426-3bf4-4867-b882-22e91bb77cfc,ba1e45ac-9432-446b-9c4c-fe45085fa405
