serotypes_id,viral_preps_id
5d16ddcd-3644-455f-8186-15427be2df02,fa215610-44c3-4b2c-b4bd-13735f2dba7e
74dd3efb-af94-44ab-8b24-fa0e37d790fb,3f164354-1570-4d7d-8e06-649d8ff3d5fc
55accaef-9a32-46b8-b15c-9efe26a4e534,1e37cf52-f17f-4f9f-b810-c28a19cbb704
1de945df-c40e-4647-a150-1554caf485fd,c3a5daa4-0564-4957-9571-ed4b3c82a0c6
b6d5f1e3-8b8e-4c89-b24d-86791b356e9d,7db38138-fd53-49e8-a50f-2657523a8885
4575f14d-665f-4ef8-8f89-d736f31e14a2,061d6431-e1ab-4015-a166-448e168854fe
f49f0fc7-3ba1-439d-9a47-6b37703e0921,6623d2fd-63c9-41a3-928e-de687270bdf4
e0aed68b-9ec6-4a6e-b48e-6a48ddab893a,f44b4719-614d-4afe-bf1c-b1ada02867a0
11e91720-3e49-4acb-9fd3-5b5a3823cf3e,845ede48-1a28-43d1-8814-f4f543826fcb
e7dd8e43-e446-4f52-8984-cc3a9160ef13,bd04559a-552a-45ec-8069-e5f785dd7145
706faa45-68f2-4c30-9134-f525908cc56a,64cec7b7-662e-4080-a3af-82aa6e1e6246
74dd3efb-af94-44ab-8b24-fa0e37d790fb,1b69c716-4ead-48e6-b587-184a1b422b13
74dd3efb-af94-44ab-8b24-fa0e37d790fb,13e3b2ac-63f7-4326-bd81-759f060561ad
7b30cf5f-9442-437d-b4e9-7c4910a0332f,50327a99-71e1-493f-b5ff-f131bea5f9d7
af58165e-06aa-4d2c-a2a1-bc7bfd5ab63e,2212365f-20e7-4940-9db0-00587c410548
a8551192-4625-4654-9fb8-341a58860a2f,60c7e299-db25-4614-8312-e50bcbfb923b
df3526f3-9c21-4fc4-b3e5-e804681c8c69,ea836875-7be7-4787-9f6a-aae93895c17e
0c7c0adb-6cf6-4909-9330-95eac9100706,5d9d0f36-45ad-4442-a802-37a05f3ed782
b6d5f1e3-8b8e-4c89-b24d-86791b356e9d,98729e27-2ade-456d-b156-ca1c012bb8b6
ab763e71-2b5d-4f73-97e2-e7e3508169e1,24679330-3375-40fd-a561-8d26b1fee7db
c2755606-4d24-4b64-96cd-bf4088aa4dc5,3712aa96-b077-476c-a560-330ba9caca29
6775485d-3cbc-4262-95e3-135428820a25,52e6ac5d-0f69-472f-9f9b-8a2d748e98fa
6b5a341b-9b9e-4176-94b3-71b78ff14796,3ee77cdb-2c9d-45e5-9c87-0dec354d7d30
8a5d70e7-f3b5-4a35-8682-54cb35c5e271,777e0c04-2827-4002-b256-38635338b380
4575f14d-665f-4ef8-8f89-d736f31e14a2,46f02c56-1cc7-4a89-8a09-7913693c802d
