id,rr_id,viral_prep_type_id,qc_certification_files,created_at,created_by,updated_at,updated_by,virus_id
510e8697-b303-491c-8f09-600a84e51b34,,9faf9a60-f9e5-46f6-99fd-cecbde7ef69c,,,,,,c84fb173-eeca-442e-a630-794d755e071f
f249f99f-be43-4f8e-8737-2e54d08e8616,,fc7666c7-22d2-4f93-b820-c1740746f5db,,,,,,580c9c81-ac78-43a8-a6d9-11b4b34f0a9c
d136b8a6-44f5-44a1-971e-3120aa47d6a6,,3fac9025-69ef-46ac-bb5c-67d5357690a5,,,,,,c34a8083-36be-41f5-bd5c-7516ed109576
6c95900c-6561-4750-b5a4-ff4ee77fc946,,9472ca49-a679-4aa6-ab1c-ebc6876461b0,,,,,,b860bbfc-961c-4dcd-aa68-5a1fc6174974
4067d07d-367f-4f6c-995c-b05c3193f95c,,57a0300a-173e-46bb-86dd-31f28b237fb3,,,,,,560f3bf8-23f2-467a-8264-f44e35f98651
9f6564e2-9380-4986-874b-8851dcea78ba,,8584871a-bccb-432b-9adc-121dd832dbe5,,,,,,0ce27900-6490-4493-b32e-3224ec3c8b96
d0b5b485-88f2-4ba5-9ee0-443e32a3f591,,e6b4ebb3-a1c2-4dc8-8e4e-be1df92c4b5b,,,,,,36b3a6c8-f3ef-4f7b-b2fb-602148ec2b63
24836359-68b9-49e4-94bf-23a0e81ae47c,,aabad930-087e-4d7e-a643-c228cab93c54,,,,,,0ce27900-6490-4493-b32e-3224ec3c8b96
e61b5ec9-059b-4aa8-9d38-4c5e9393714a,,f1ab2381-1412-4681-bb10-eb9459fe5cca,,,,,,b860bbfc-961c-4dcd-aa68-5a1fc6174974
d3a170a4-8df0-4a4e-b9d5-75a6efb650d6,,27d5d604-3d1a-4643-81cb-bfd93d8dd812,,,,,,e55424e5-33f9-498f-abda-d5dad48231ea
03999764-7af1-4878-901f-64c4bef93f63,,007c9788-4156-4d7c-9143-0a5a71ec20bf,,,,,,36b3a6c8-f3ef-4f7b-b2fb-602148ec2b63
710fad17-f801-4147-91d7-8d272515cbef,,78df863a-a8e1-452c-adaa-3de6beca6c6c,,,,,,2cd55458-ea8d-408a-92f1-70fc2c0c9ce2
be4f4efb-7a46-4d7d-988a-c8497c9e892f,,62d57773-5a02-4a05-acd3-d5ce4d55419b,,,,,,3d3c16ca-803b-4afa-bede-074b2f6a832d
ee9de980-0bb0-4fe4-8f81-cfab09606e77,,e6b4ebb3-a1c2-4dc8-8e4e-be1df92c4b5b,,,,,,4a9fb36f-1013-42a5-9f4c-c68d6e35cb2b
892609f1-b051-46b9-b97d-6a9389257639,,ee126bee-5d43-4d76-b68e-025f845e8d01,,,,,,78c8fadc-18c4-4283-ae63-8150d40e7dbd
68d776de-fb27-4c14-a50f-1b4e14794d0f,,f2b35912-fe7d-4513-b794-1553a3c4e463,,,,,,d413d7bb-8a48-4aae-8b07-98131271f487
ac9e33d9-673e-48d3-87fe-e8b7242a209c,,d14aae88-0898-4583-a4d2-b18238fa4f6a,,,,,,c84fb173-eeca-442e-a630-794d755e071f
2212f294-6582-45be-be3d-c71d37dbce19,,900b35db-f392-4d84-84ce-7e14c909fe06,,,,,,b5beefce-7ca5-4cad-b28f-dc675083c451
9963a51e-7b02-4c3f-9057-b689dc8cda00,,900b35db-f392-4d84-84ce-7e14c909fe06,,,,,,f117bb68-e928-4824-988b-679398471822
384e2c8f-e122-42ca-9217-815d7e89445c,,eb4ef0a9-a8d4-4cf2-ae20-6fb86c7a3fd0,,,,,,4997af48-e970-431e-a801-5ba778215148
f80b6d02-0cf0-4047-8160-ca9929721bc8,,6cd4ef86-ab59-4474-8a12-3199d1c720ec,,,,,,6dc6647c-72a2-444d-9e74-cfa2f5f9087d
c195e995-b5a9-43b7-8342-43f0ff833ede,,9ec12ae2-57fc-4316-96a7-dd0ce271ebb8,,,,,,049a5f45-28e8-4b0a-8000-64c9a9094a18
89249335-5bf8-4e13-b5d8-3356da8a5ba0,,00ed8e59-66fa-46f1-8e38-0895edad98e6,,,,,,682c0c9b-0b59-46aa-931e-a94683d2d202
6d9ff04d-a31f-46e8-bc5b-f01af06d47ad,,55538336-cc7b-4a6a-be90-9e3e0a6971ab,,,,,,8876f2d9-c69b-4c87-a22d-5229ec16cb01
feaeeb15-dacd-45dc-859e-32ba16ca0ead,,c5354c15-a1f9-4968-968d-625fb72a943d,,,,,,0ce27900-6490-4493-b32e-3224ec3c8b96
