organizations_id,patents_id
61722dff-a36a-4985-bd95-a98ea9f0b08f,648aaaae-6af0-4498-9032-50cb1a641e59
7f398ddb-a707-4e5e-a8f3-fcf682f52484,5485ddc0-3d9a-464c-9886-677b4d91e3b4
0490f42e-119b-4bde-9a70-41e88b33081e,18b794d0-eac7-4123-a976-4f67664214ab
e1f5be01-0d64-4d04-a64f-fa8a66490466,e946011b-8671-48fe-a009-821fdfa007b0
a5cb5cae-100b-4a9e-b624-92c035377235,a425a219-ac4d-49d8-9be9-bbc2c7c1997a
f4a787f0-c35f-49cb-b3e1-b7429be47ea8,d4887de4-76b3-4191-8cb5-c4ec986133c6
0d3e5958-4530-40d9-9033-a1d50ce37c45,2f96a7db-b59c-437f-8815-806e89d42f86
f4a787f0-c35f-49cb-b3e1-b7429be47ea8,e946011b-8671-48fe-a009-821fdfa007b0
47ada98e-648d-439c-b377-ee2cc5d95874,3cc6846d-68cf-4758-923d-ceec90c3c47a
20a8bc64-d9f8-4df2-bf9f-590b370017dc,b8f76747-a016-4d23-89d6-da3266b305e9
c0a830cb-d887-4af1-a05d-ecc38155bb77,813aeb62-fef5-46a0-bf91-248ceb7b58aa
3357b09f-9a64-4f79-a1c9-387340a6f8da,c229ac89-0622-4cd7-a493-2448a8a80194
9158cccb-0cbf-4a94-9d9c-999a8031580f,123f9d79-82f2-4320-89b7-76d17dcda5bc
d3a1c8fd-da2a-47dd-b378-044101ea805b,956b0f25-1a09-4a1b-bdfa-adb4e84d84df
eeda8ef0-5c3b-43f0-8025-db0778acf2a2,8d1d98ea-b19e-4591-8813-4f78f241cfeb
435fe901-0ff7-4d29-81d9-6a03e05f7f0c,5ab9b96d-3cd0-410f-b4e8-c23205977fc8
407e4057-d05d-43c5-a124-1b4ef614a118,f9baaaed-fd47-4415-aaa4-bce371ab2486
84a9ce33-562f-4e20-a832-66d6d3c0aba6,123f9d79-82f2-4320-89b7-76d17dcda5bc
3351a461-c281-4de6-af57-6e0a623d3423,803bb78b-502d-43b3-8d7a-6b469c165a68
def1c769-012d-4caa-be8e-eec024f05f3a,293962ed-a7c0-406f-ac35-b42cf1e78b58
9a1ae1fa-e6ec-4e0b-9e6c-aaaa863df084,f650c9fd-7273-4d9d-ab34-ba029e99d9ce
b8cac49b-9ea8-4062-b69f-4d2f21d9fb01,c229ac89-0622-4cd7-a493-2448a8a80194
3a514586-80ab-477d-9206-e95d717e5061,d66eee61-b7e3-4964-8437-fc5fa9bb185a
bee01a04-8c07-4e10-8c1e-23c43567a69f,99e5f148-8deb-4a95-bb35-4263902c013d
8ed78e70-0f57-4684-b2ee-d171e3d457c8,0de290c9-f478-49fe-b9bd-3dfc27506af4
