molecule_id,virus_id
60e9093e-9cc4-48c4-82cf-9a29f6a5006b,c8fc4224-cd75-4ab3-9e2b-ac7207d05d31
91f4dbf4-c46a-414d-adbb-65941e92d1e7,b8f6be14-2024-42e7-8d66-eb6edec540c2
2c255d9d-7f63-4946-91ac-f68c9ba813a3,d413d7bb-8a48-4aae-8b07-98131271f487
2c255d9d-7f63-4946-91ac-f68c9ba813a3,3eed57a9-5e99-41d6-974e-c41d3dc4adff
98579c61-02fa-49dc-b5e5-2c9dedb99984,1f5081a0-2d15-4d44-bd5d-dacbff05abe9
8178e48d-b573-40f2-b774-46deac9f95dd,07c521d0-30ce-400d-90a9-697c063f9384
91f4dbf4-c46a-414d-adbb-65941e92d1e7,b860bbfc-961c-4dcd-aa68-5a1fc6174974
e2dca0dd-13d1-4f0d-99fd-2ee4eea47093,07bceac3-5aad-4b4d-937e-7eab960e2ef6
f1a521ea-516f-4d04-a024-34357ca596fc,36b3a6c8-f3ef-4f7b-b2fb-602148ec2b63
0697ca24-2cbd-494b-bd68-67391df0dd9e,8dd27927-5c3d-4c13-9a3b-2da3b248bdbe
84e1916e-ecd1-4d1f-a8d4-40e926f3fbac,54496c6f-6c0c-4575-80db-b100f9814204
5336294f-978a-461f-9d9f-1a324d12028b,b8f6be14-2024-42e7-8d66-eb6edec540c2
c9175a16-7720-4b34-b9e3-9c298b42a74e,13863467-6152-48b2-adf3-ec878f7ebec3
f2a5ed58-86dc-4240-8b07-54a2f36e2693,b5beefce-7ca5-4cad-b28f-dc675083c451
203b16ad-c4ea-40a3-b60c-15701929942c,77314752-7d50-4eff-94cc-7690ab7fcefb
84e1916e-ecd1-4d1f-a8d4-40e926f3fbac,933c9ac3-cd88-45ac-80f2-aea6813b22dd
bb86c83c-b67e-4ba4-8e21-78616112ea92,1f5081a0-2d15-4d44-bd5d-dacbff05abe9
d48be170-9932-4f1d-925b-ec3f5996c1f5,e8507751-8bc2-4190-a7b1-076fb1d99784
2a5d91ec-0b4c-4103-a7b5-84bf90454c26,93694e61-ab12-47b5-9b70-9183e2e1eb37
7e8b7b32-0ad6-4043-9113-e1498075872f,ee47ae7d-66c9-45ac-b0a6-b23de3753447
d9e4c083-260f-4e6f-aa4d-c25ac81d5f5e,fc162ac0-bc72-4af4-a31d-7cd6fed8d49c
13e4a626-0e5e-47e9-b6ba-8e5e6fbd4f16,547e53f2-d9a4-4f42-adb9-1c3f1cc9f7a7
2c255d9d-7f63-4946-91ac-f68c9ba813a3,fdbe5375-fecc-405e-b04b-9a9c50be4e4a
17210e26-5432-4a44-af27-fd276c445fac,f117bb68-e928-4824-988b-679398471822
647c0df4-a242-4470-8f2b-4e63973948ca,4e6fe302-7836-4175-8bf6-4ef638b63925
