molecules_id,patents_id
ae030416-0ee7-44ef-8c6c-322e6d24d4e7,e6815beb-685a-4774-a32d-40136308fe9d
695973af-e407-44aa-a9e1-9c5bdad5c3e3,5ab9b96d-3cd0-410f-b4e8-c23205977fc8
84e1916e-ecd1-4d1f-a8d4-40e926f3fbac,8d46d17f-8cf5-4a55-9648-306c5b4f9ce0
6444a3ab-5cec-4889-afe0-edec60accc36,87a0ed13-616f-4694-8379-1516d56c78c4
1af3ed5c-963e-4f2a-8a89-8c979dc939c8,9ae8c8cd-55d2-43b5-a7ca-aa17981c75fe
5d2cfc43-ea67-45e4-b3ac-f416281379fc,f68abb4e-e203-4b4d-8a16-cebc3cc2ee07
513797ab-eff3-413d-82fe-c58128adeeba,293962ed-a7c0-406f-ac35-b42cf1e78b58
8c033885-5aad-45b1-8b5f-9c32a84d284a,d6f92bd7-df41-4622-81d8-ef6d5a3642e9
c9175a16-7720-4b34-b9e3-9c298b42a74e,77fd650e-9126-40f7-b69f-c221b67485b4
0697ca24-2cbd-494b-bd68-67391df0dd9e,e0ddca93-9c96-4154-8ceb-3426e080e5ef
a3d6e3bd-ed0c-4ac4-8c4c-c1e7af26025e,e0ddca93-9c96-4154-8ceb-3426e080e5ef
91f4dbf4-c46a-414d-adbb-65941e92d1e7,0de623ef-3771-4028-a267-cd33bb0835e0
91f4dbf4-c46a-414d-adbb-65941e92d1e7,e0ddca93-9c96-4154-8ceb-3426e080e5ef
491c648b-8cfa-4a54-9730-473a260a8a31,3d831483-4cd0-4537-ae9b-d1841458e729
b8b8f1aa-c36c-4154-809f-212ca39bd2c6,3cc6846d-68cf-4758-923d-ceec90c3c47a
177a40c0-47aa-4aa1-91c8-c58345e75cba,123f9d79-82f2-4320-89b7-76d17dcda5bc
5336294f-978a-461f-9d9f-1a324d12028b,af5f0bde-7a07-4a2a-9016-675a83ce4365
88786883-2795-4b3b-9add-ea22a3c142d8,ea9a44e2-9844-4bd3-88f8-4addafb1d30c
ad3cf93b-7870-46e0-adc5-0070909dd6c4,c686ea7a-4361-469d-9f41-4cc7519510f8
273f4600-dfa6-40cc-a9b1-333133fa5fc1,99e5f148-8deb-4a95-bb35-4263902c013d
244f9873-2e64-4a7c-9349-10f76d0f2422,48e31c7e-789f-4401-a0cc-9f3a6b70b30e
391a6614-bfe2-4a08-9b71-1ec90411de75,48e31c7e-789f-4401-a0cc-9f3a6b70b30e
92205d77-39b9-45e3-a21b-7f802fcdd27c,803bb78b-502d-43b3-8d7a-6b469c165a68
4b5d8391-627c-4a52-a728-8dabcf7962be,27925ad5-ebeb-4a09-8124-3435206e0375
d3eb44ee-bfd4-4496-b4dd-58ddb3cd735b,e8377c78-6d88-4a02-9e8f-06552e367e67
