id,transgenic_line_id,created_at,created_by,updated_at,updated_by,name,is_preferred
5f06dac8-1358-4d26-8b8f-5b4b66a8a6bf,78c152b8-4425-489f-9e02-0f3c217c694d,,,,,,
ec53e695-ab6f-41c7-9471-2bb239e07e0e,1fde7068-dfb1-4364-878d-fa22bb1d3c02,,,,,,
09b2ce1b-2cbb-4599-bcf8-10206684547e,cf44961f-3b14-42e6-bfec-d513c6416cf7,,,,,,
2f084d7a-95e5-4d19-8f5a-42b176eb85b5,64bcc4bc-dfe4-4580-a67a-7af1d5075339,,,,,,
e9d10ce6-f451-4fe4-932f-987614c56d21,37740668-159f-49d5-9e25-1413a1f30cda,,,,,,
93250ec2-d6c7-4be4-89a9-6ae5fb346aee,ca8f9531-0695-4caa-a2fe-daa3b6f54469,,,,,,
6fa77a1c-4a17-4fb3-8d8c-79682212ef73,1728f084-4c9d-41b3-8393-8cc0a6f9da8b,,,,,,
372bc5fb-fdad-41cc-bb22-9f6908f89340,9094abbf-bba8-4ded-818a-3c01e973a96a,,,,,,
5000a3a0-d09f-4434-a7ae-f869d6001a23,c600c444-dbca-4631-a3ae-f9749f74e72b,,,,,,
3f70292a-7baa-4efc-8e7a-0a223bb48062,4a2e8352-8e10-4a70-b539-14e406a6246d,,,,,,
ef7cc792-4a2e-45c9-80e6-8e386659b96d,0fb4e593-10ab-45e1-be41-63fd9137abe2,,,,,,
a178e85a-2c89-4be8-943f-bbe4d15818cc,09273629-b22a-4eec-a4e1-071ec257c9f4,,,,,,
ef8cd587-bff5-4004-890b-925027f8ac16,5fba0678-dcfe-4bda-b3e9-9285bba157bd,,,,,,
fa388a4d-dc72-4c6d-8b36-ae954723114c,2f5deced-1822-4135-a360-08d5ccfaa1b2,,,,,,
87491d2a-7cea-4111-b960-ecc788ae7252,60b3de01-52a0-4859-a77f-ece97e1ddbef,,,,,,
46ceac8e-ee9b-4db1-905b-d9720a930d14,f625437b-1be0-41f6-8a24-b658d279d756,,,,,,
0ea48733-db45-47bc-8513-f57f43c56842,d1d772c5-47a6-468f-9ccd-6653bb49db64,,,,,,
7753128f-3433-4929-b354-db4fcde49618,f7d63afd-4f50-4bf8-84be-ac79be13d7a5,,,,,,
7d15135d-526a-42f1-a951-71c3f66a6115,d7579ac8-f359-406b-9e69-27aa5d7b988e,,,,,,
f59a40bf-83ad-4877-9ba1-e9c553af1c97,6c387970-bec0-47f8-b49e-e586abe5044e,,,,,,
ea809d5a-9346-4597-9998-02fd8d4e3b82,a6e36ba0-d793-49e9-9d4a-bc41e6e4b48e,,,,,,
3d14e1a4-e46b-4610-8df9-3a5160763612,c9135056-7dad-4e3d-bc80-c0f129ef56cc,,,,,,
7d4a0d36-73a5-475e-8e08-840a5fc51ceb,dfeae517-3e95-4426-852b-da512eee980c,,,,,,
1ba4023e-aeb1-40cf-a587-6f06da4388ea,4a1dd992-042c-447d-af10-6b7b0211ecbe,,,,,,
eabbe534-4b9b-4601-b8cb-81b9790b24c3,f64f69ef-bf31-4d72-b845-362309202813,,,,,,
