molecules_id,species_id
132f5404-7d18-4c65-9bc7-c802dbcf8d43,878a7cb9-5372-484e-9f90-2f85342898b0
4a6a7c37-3d39-40b1-97a7-2d4355b8a5c2,3236830d-ed6b-4132-8c51-344366226b1b
0697ca24-2cbd-494b-bd68-67391df0dd9e,fd1e721a-b103-4623-8313-c5ccff067e38
50f7e708-f29d-443a-a028-04f785e0b6ce,a92ff32a-a192-47f9-8138-85e618026249
203b16ad-c4ea-40a3-b60c-15701929942c,49e1b803-d05f-4dbc-b7d3-6a2a6859971d
62e69486-ba87-4177-9cf7-071c0f5c6011,7ded159d-a939-43a7-840b-80a5d01d79ea
c8634a4d-1e31-497a-9ef8-711771920b75,cf7840ee-c909-4d4e-98f4-9e835f961e85
683f8225-d804-4184-a5c2-9423ad5d4c00,b8d42a0f-53d0-4754-81c8-080e9e578bdb
73d8b116-5d4a-4ade-b952-22389b5d496c,cd205c80-3558-4ab1-996b-bebc00ccc569
b8fc1b2a-f938-4c51-a53c-0e212f0a670e,71f42a7f-caf4-4410-8bf3-408d9929c9ca
5da1b0af-7409-4265-beae-21d70d2364f7,99ad3724-16c1-43fa-8089-0bdd9dc87924
9f6f9275-5a3b-4b7d-ba04-00e7e3c1929b,b04b47c5-4573-4ce4-b577-e9bffe5214aa
84e1916e-ecd1-4d1f-a8d4-40e926f3fbac,f2f5d3f5-1a7c-46a9-88a8-dcda63905ad7
0aaa0a01-fac5-4a30-8e12-8550acda489a,409fbbe3-8594-4236-a955-10e211f86702
d3eb44ee-bfd4-4496-b4dd-58ddb3cd735b,71f42a7f-caf4-4410-8bf3-408d9929c9ca
99a69bf3-ddd5-4019-a5a1-8f7b18d3dfc7,3ab7a4a9-d20e-4d36-a38b-39497640f63f
4b5d8391-627c-4a52-a728-8dabcf7962be,90bf8b63-1fb7-42e2-973e-47b617bed558
10d4b394-b38d-494a-ac6b-228198f5de52,07bd40c8-98d4-4764-bc2b-157121c0adee
2371fef9-6b33-4097-b6f9-a8d6b32fbcd6,2bb70818-8483-443e-b6db-b445d41f2285
378d74b8-fcf1-4a31-aabc-10e7d53ffbdf,051eee3d-456c-44cb-b2a3-7042791aa9c8
6ee3a20d-2b19-4fd6-8dab-d627c4421877,90bf8b63-1fb7-42e2-973e-47b617bed558
7e8b7b32-0ad6-4043-9113-e1498075872f,e23f1040-45a4-4550-9ad5-6ce790ae5e81
80f15ffd-e4aa-4a9e-a9c0-32bdee9bf7f3,82b11028-bdf9-4679-894a-f9481c199993
ed5b604e-2bf9-4aab-b8d1-4d43659efa41,83c362eb-5fc3-427f-a8ae-c2841d406778
132f5404-7d18-4c65-9bc7-c802dbcf8d43,3236830d-ed6b-4132-8c51-344366226b1b
