patents_id,viral_preps_id
27925ad5-ebeb-4a09-8124-3435206e0375,777e0c04-2827-4002-b256-38635338b380
266d6e5b-2067-43ee-b5cc-83615b90a9e9,5db3538f-c378-43e8-9bbe-5f6a9121efc2
fb93ed67-1924-486f-8261-b4c93c1df5ee,1e37cf52-f17f-4f9f-b810-c28a19cbb704
d887ab51-1efe-4137-bf72-69bfabab55b6,d4120be6-f418-47ad-9fc7-25b9973f397c
2452d9bd-3247-4d83-9264-8e428cab9c59,e43b1871-71a1-4436-a776-386032eca618
123f9d79-82f2-4320-89b7-76d17dcda5bc,7712a3a4-d58c-4f2e-a897-396d21973604
ffa26547-63aa-42b2-9a0b-b33662e87c22,46f02c56-1cc7-4a89-8a09-7913693c802d
34e424df-df72-4c7d-bcf1-f158140a1e80,70e20896-8d04-49c5-87b4-b6f16a2a252f
6733ad89-6009-4d35-8a5a-5cec92fe10cf,1aff1658-c7ee-444c-a081-004b62d3ad3b
3ebcc7d7-9a56-41dd-8816-c90e38c2af36,94489561-21af-4ead-901c-8b71ebf319be
8d1d98ea-b19e-4591-8813-4f78f241cfeb,2ed6994a-34ec-4dbd-b99d-37770ee70a93
5248979a-0e3d-4be4-a371-232788e81c4e,0d1800b3-9a18-4151-b857-f963e31543c9
d66eee61-b7e3-4964-8437-fc5fa9bb185a,da1e9d09-9581-4ff5-af7e-9d5a763477d7
f68abb4e-e203-4b4d-8a16-cebc3cc2ee07,f44b4719-614d-4afe-bf1c-b1ada02867a0
d703cfdc-fa8c-4ae6-b7cf-6c561240e2c7,1e37cf52-f17f-4f9f-b810-c28a19cbb704
1c81dc44-97c8-4afa-9dc0-5ae08b8767fd,337495d9-083d-4f68-b3ac-7166d0630434
cf71da7c-ee71-4db7-9e0e-53d69a5e54de,aeeb21e1-5105-4337-a00d-1a99596da7cc
f8ac6c6f-dbf3-4692-969f-52f958100912,ede97d1f-1f38-45f6-87c9-b8a98b3414fb
20f78282-1b8a-4b0c-929a-07ec14f82a67,181c2e3f-7c55-49ab-8a55-6a7161705609
ffa26547-63aa-42b2-9a0b-b33662e87c22,98729e27-2ade-456d-b156-ca1c012bb8b6
15b2589b-7899-4c6a-a338-0a6a14278799,59be3459-e36f-4325-ac2d-4bbeef56dd7c
123f9d79-82f2-4320-89b7-76d17dcda5bc,0e74bcf3-44ba-407c-8977-b86973d00726
38869e14-cb28-4697-9641-4c98cebe3fb8,d11b7939-055d-4f2f-86e0-fd3ae4a5e626
f329e3d3-495a-47db-a13b-618ef7672f8a,a2af289c-cd7d-4fc7-99b5-2993ba87acff
e0ddca93-9c96-4154-8ceb-3426e080e5ef,d3b24e38-5259-42d8-aaf8-8f2f1098a5c6
