id,organization_type_id,organization_parent_id,ror_id,name,uri,created_at,created_by,updated_at,updated_by
2863bdea-9178-4afc-87f1-685ba1c44857,fa6d3bb0-c6b3-4ae5-aad4-f5785ee336a1,fd1896c6-eb1d-499f-9d02-cc11c075e916,,,,,,,
c718da1b-f16a-422c-af8b-47676aa41f93,c019b14b-2ea1-4489-84c2-2138760e4fba,1f172e7e-e0e2-4fce-949c-bc98bcc97dbc,,,,,,,
5410e3be-7fab-47de-b8d0-c70adb3a7dd0,26715469-fc98-4ac5-9ac4-b15e11563114,af0ba8b8-ddda-43a0-a4ea-17a57878f775,,,,,,,
add9aab9-23d0-4a4d-afe8-bc0db347fb81,da58e0c0-8a6c-44a6-86c0-ae9485457e2f,bf88a62c-f7b1-4247-b3a8-63aa62c8fc66,,,,,,,
b39915ed-95fd-493f-8bee-9ed7a2a0418e,02921d6b-3e11-4a24-8d09-8171ea2c9fb7,5067a7bf-7375-4e9e-98f4-d97f5248bf0d,,,,,,,
875fe2bb-27a9-4996-a730-3f173fc4a5b9,4545715e-50dd-4fa6-8470-a0fa9c4975b2,df7a1bdc-eaff-467e-b630-2bdd458602d3,,,,,,,
30ef2b3a-fe30-49fa-9402-4d8f03e49829,d21566e4-b655-4b48-ac63-9d03d3d57239,1546f11c-274d-435b-bcbb-6d1444e932a6,,,,,,,
87e95163-d796-4818-ab2f-40239d16f9bd,94eac443-02a6-4ad1-964e-df431d952ea8,748457f5-db8e-4107-94bb-e08d374d4dcd,,,,,,,
804c64ef-7c6b-434f-84ae-790e0aa571c3,4846af72-1982-417f-8a0b-bbc2371f9272,a5cb5cae-100b-4a9e-b624-92c035377235,,,,,,,
4c8a5269-b144-4055-adc7-cd39788a40bb,61334e8a-fb86-40aa-98c3-ff88d837943f,485f0d23-a646-4e09-9d70-67980403b92c,,,,,,,
9ed2729e-b1cb-4fc6-97d7-b2608784ae5d,95f4e943-d83a-4c72-9156-7fabdd66762c,afa7aa4f-63e9-41ff-b3e8-d79d5589fa18,,,,,,,
f3bfa12a-16a1-4725-998d-a58de4f5a3d1,381b2865-a42b-4c3a-9ef2-42af28de2d34,ba1e8245-bec2-4844-8e80-cae4e67a5d63,,,,,,,
5bd8c2b1-3c56-402b-b708-9aacb24165d8,e7cdd989-be83-408c-be62-7ffacadebf73,bee01a04-8c07-4e10-8c1e-23c43567a69f,,,,,,,
f90fef6e-d2eb-49ed-b031-5e5e376b1348,02921d6b-3e11-4a24-8d09-8171ea2c9fb7,61dd67d1-6727-454d-8404-e80db01139c6,,,,,,,
806dc9b4-69c1-45ef-bc29-cce43fa1f7b0,737fdbfc-b758-466f-9e8d-962afa82de6f,4b6f254b-6a9e-4da5-bdfe-3e3becec70d4,,,,,,,
a446ae23-7062-41df-b868-5b453339c7d6,22afa5b4-ffc7-4027-8f04-cc0a2ef93e73,e9cb5cd9-f551-4d80-80a1-8af36af6e9cd,,,,,,,
6be71caa-0b30-4c90-a7e9-365a2d8e4155,1c09fb7b-0b83-4479-aa5e-153927cf760a,ce65fee7-caa0-4fc3-b4af-20e412b4f3ea,,,,,,,
47872651-177a-4667-a472-b83dca24b973,660ed1fc-626e-4ec3-9be9-7525fc87ce8b,f2b99f71-b775-4664-a571-2d1f306b868c,,,,,,,
84107cae-ad33-4c2d-b226-b23774c33f8c,d5a356d5-b974-45f1-b43f-d6fdc9e1bddd,485f0d23-a646-4e09-9d70-67980403b92c,,,,,,,
e2f65d19-f6c3-4add-abd3-0adf458edc0c,288965ce-199c-4068-b391-62eab48b0498,7c71b528-33f6-41ab-bf67-6b0d84ab7b05,,,,,,,
96c3ad41-f001-4ff9-a4ac-a9ea73085c62,c14cb2af-5db4-4b90-8fae-cffabcff1025,ede79236-56e0-4d99-8449-d800b7e6ea15,,,,,,,
3857a106-8b18-4376-a99f-7872466d5670,d871c881-81cd-4289-a4d7-d57565057fa4,b403230d-d316-4f40-8683-b106c0c3f78e,,,,,,,
94afb6bd-1895-4e41-a130-56036799d5cd,381b2865-a42b-4c3a-9ef2-42af28de2d34,61722dff-a36a-4985-bd95-a98ea9f0b08f,,,,,,,
311e6975-53f5-47c3-ab01-9737b6a1f73a,aa38b71b-2c66-4092-b157-bfcca67eb28d,33e0f3ac-e21f-4b8a-90f5-f51e40d59441,,,,,,,
aeb1a5f5-38f4-4452-9e13-195208ad589b,26715469-fc98-4ac5-9ac4-b15e11563114,62e1c39f-cd2f-4c4e-aa4e-2ddd0502eef5,,,,,,,
