id,rr_id,capsid_id,created_at,created_by,updated_at,updated_by
5bbb17a7-4355-4e4d-8145-df3b4936e74f,,b96bbc40-43cc-45e3-a4ba-58b33d5fe2d1,,,,
a9c11882-e33a-40f0-a49b-65232f9c5f77,,ef7aa0e3-4d66-43a4-9850-24cc37109bfa,,,,
0ff6db5a-e93c-4993-9a55-fddc7d7a5068,,d0e8cc83-2350-4db6-88a1-d09f8a4b3a24,,,,
93a10ca5-36ac-4a6f-86ed-873668668e91,,1bcbc8d8-e030-47c9-bf9f-0ad1d27ada8b,,,,
f0cc7bdc-f770-43e4-a777-2f0d9ec5fd67,,689d49bc-6455-423d-95c0-804e9d87df85,,,,
e65143c9-e47e-4f36-a8bc-c62b026d0d5c,,aeba628a-80d6-4e2c-9226-b2d78e798ec4,,,,
f40da2ac-200d-4029-82ef-09736864837d,,c0155b30-a0cc-4429-8949-5b35d7cbb45b,,,,
71d525f5-e674-4901-b860-9d1a707cec0d,,c18d78e1-df04-41ad-8a9a-0076290b7004,,,,
5c01d57a-ff9c-44c8-b969-cae7ad230873,,257b3d19-201f-4957-b8bb-941501222943,,,,
518ccbe2-056b-4723-a9c2-4467a4188bec,,ceaef516-1b82-4fcb-89c8-265ac76a9c56,,,,
2a1bb54d-0008-462b-ae80-cbf16ef12c8e,,b96bbc40-43cc-45e3-a4ba-58b33d5fe2d1,,,,
4649480a-1db5-416a-aca1-2247247632af,,4775f2c4-6fad-4884-9a7f-a0e79e577557,,,,
2915ff4d-d90a-4e9a-a499-301b3563efa7,,ae0157e3-d485-47ea-81e6-7f26dbec94bf,,,,
2128c139-74db-42b7-8ef3-f785a6b0b091,,6c4b2c59-591f-4a6e-87cf-cadb7b303b1e,,,,
1f3acae9-2056-49ee-a602-80c56661ec16,,2570c16e-3957-4806-889d-e52254098f6c,,,,
47de7a15-fd01-4992-9195-e610bb509976,,5a2aa8b2-e654-4734-800d-8250c40c0956,,,,
a03df9c8-488d-4278-a2b2-d5d393f46e26,,5db58719-ec08-49d0-83ce-17a2216f5e83,,,,
a1662fe8-dd83-4ef8-9cd9-1d96ae62a2f5,,86d7fd3a-1f7b-4b77-bc0b-259a035d76ac,,,,
7bcbbe47-a84e-434b-bb2e-7ff9cea062d2,,1cd188df-833e-4ddb-a4f3-25ecf522ae42,,,,
780327cc-c8c7-4685-9738-6a486cc1f2d1,,a0321035-c49b-4cc1-84a7-16e4ebbe8115,,,,
ce29179d-bc9d-4858-945d-ee04d2ee5438,,ec3d3f66-d7f6-4131-9dcc-5de903a8f4ca,,,,
2255ab9f-0186-4175-99da-59e75a4bd655,,217e9e1f-ac45-4748-9a0f-7878b95b4c3e,,,,
0484c09d-7076-4873-b31a-35460effddd8,,1148ca0d-6323-4de0-a571-1e84c990a906,,,,
b471729e-819e-42d2-9bea-761495b97b48,,f7d05d3b-1f37-488b-beca-f5dd318f8204,,,,
69916388-ae65-48a5-a171-53f41d92d907,,32d69915-e6f1-43fb-bdaf-984674b0e2c3,,,,
