id,name,legal_id,patent_number,state,notes,patent_type_id,created_at,created_by,updated_at,updated_by
cc39c2e5-f22b-4f9f-8fd0-15ea2e7bf14a,,,,,,db8294ef-abf9-408f-a957-4f5bc24f573b,,,,
11e074be-6734-4a75-8b29-60a9ec0e0a23,,,,,,d1262462-1f07-4107-8824-4d08e7362b9f,,,,
12868cec-9bfe-402a-900d-4f971244b699,,,,,,d8afa7a1-95b5-499f-9b65-0aa8443899f0,,,,
ec532435-bf71-4861-84a5-3fb62f73bf81,,,,,,a985c6bd-de59-423d-b370-eecb81af81cc,,,,
7379582f-523b-4ded-a74a-b57b71a79225,,,,,,b7a78992-8b1c-4dc8-82e2-3e322ecfd43f,,,,
ce712ac5-8a2e-437a-a5a4-f9f1e044c8f1,,,,,,09ab05ce-cef2-46c2-b538-e9b98d37a083,,,,
44c52d2e-3db8-4ef1-8c21-d440a1da9e8b,,,,,,9884ba86-8a3d-4eb0-8ef9-ca0cbd034fcc,,,,
d5ac6bd5-3bdd-4bb8-ad9e-f5998c26ac6b,,,,,,82113769-ff14-4b61-bb2a-9aa29fd34b22,,,,
5217b735-294b-45b2-a8f3-1b6f50e039d8,,,,,,b7b17c80-97e9-447b-b723-23ceef067bdd,,,,
89aa891a-aef2-4ba2-aa8f-7bb1d3b59234,,,,,,3d8ea5db-249a-4592-892b-78e86ae002cb,,,,
0fad5cf9-4de0-428e-aa03-a08c8193b458,,,,,,3ccd2894-37cb-44d6-b4a6-79785b09dac5,,,,
2349a9e1-8c92-4c01-9153-d7cf3eccf51d,,,,,,db8294ef-abf9-408f-a957-4f5bc24f573b,,,,
0310c4b8-02ed-4654-89e0-1f25dcc0ef4e,,,,,,e11a0d99-19e7-4be3-94e8-4bb5a5c59196,,,,
5edf1891-3821-4190-9151-87514fb3068d,,,,,,8961d450-3c60-4a7b-b70b-5b5cd65882d0,,,,
897d5847-c00c-4fd2-8108-6b0b47e22f5d,,,,,,fb382f7d-cb97-42a7-af90-12f9737511ef,,,,
6644467b-daab-49e9-92e6-1d39a66a08db,,,,,,187eff94-01de-4e81-bc28-49f73afa7bda,,,,
34b60c88-b11f-4722-91f0-5abc30b530d7,,,,,,ad312433-3fee-45ae-af53-ca7367154412,,,,
7f8e13e1-9f80-48c6-92e6-cf1319dceb0d,,,,,,faab7522-7dae-4f6a-a3b9-dfe96e19de20,,,,
89687949-feea-4d6d-8138-1332122e9be6,,,,,,be3e7111-0e97-4e0b-a0dc-04d90ca92fde,,,,
20159642-fa74-4ba0-88b9-7e43d335337b,,,,,,207df66d-2c67-4a34-9243-ede54c448a62,,,,
36aea2b8-4dde-4c10-8c1f-db0670baaeb5,,,,,,8edda9e8-49cc-4bf2-8aed-44af9941cb6c,,,,
2f87611e-a078-493e-bf69-00a3cdbc90e2,,,,,,54a20b4c-99ee-412f-afcd-49a898e0351b,,,,
11bfc84e-33c8-48a6-937a-bc0574e2657a,,,,,,b0fd3e5a-6eb0-43b2-9164-edaeee7d23d5,,,,
85783628-b326-48f9-860d-4308ba2148ce,,,,,,ed675d23-a778-4dc5-94a4-974a205c8f5d,,,,
04b0ce07-4e02-4c04-9ada-7a7845ab89f0,,,,,,281317d4-0df2-435c-9027-0468ae55644c,,,,
