id,notes,embryonic_stem_cell_line_id,line_property_type_id,transgenic_line_id,locus_id,created_at,created_by,updated_at,updated_by
a130d0ab-08bf-4160-814e-384c886f95b2,,c1ae70a6-2800-4826-aed2-cff670205c47,a5095109-360e-41e3-b460-919a89b9a310,13eb5976-33e6-43fe-87ae-7a6e3ee1e3f3,91cb75c7-6f44-4f12-824f-8aeaccef58a9,,,,
737d751a-14ad-40b0-af92-a65a3fdaacb1,,1f4c27b4-a752-40c4-8551-9bb85984f888,347dba67-3371-4065-b76e-5bb6803c1886,7c0e3e33-a4b1-4f5d-b42b-91a40d3edf4b,8a95a98f-b5f0-4279-8779-cfa5585f4c27,,,,
b9eeeb0c-3849-41a8-b8bd-97d4a00ed323,,b895d336-e872-49ee-89c6-4a6e1048cdc0,e996ac1d-dfaf-4e68-b4b4-cb2a4401cafb,e08e95f4-4a15-43e1-8891-10e55c710dd6,01adbde7-26e2-4ab4-957d-1a8406ba0d63,,,,
6bac681d-b415-4e25-a457-13f3af9a9561,,d4e182cf-3a1d-4e44-b927-0e73950dfcaf,36ed03e2-654a-45e3-8510-d9e201733036,64ed6037-6dbd-4776-8f64-000f15f26c49,92de608e-0631-4ec0-b21a-e2f63fde0583,,,,
cb3bebae-7ae9-4662-af42-12cf5e32ab85,,508640a9-7499-4d29-b2e2-45086e0a4768,5a4c4a62-b032-49f3-8fa9-77ffd221ff1f,c600c444-dbca-4631-a3ae-f9749f74e72b,653bb69b-d33e-4f3e-8c5a-4026926e9e79,,,,
123ba7e3-8cc6-4b68-867c-699dc08dbf0a,,c77a621d-ce51-4a19-a4c8-ead2e39bda31,2083fc27-00f1-450f-b734-52eb53ee9c2d,9094abbf-bba8-4ded-818a-3c01e973a96a,92de608e-0631-4ec0-b21a-e2f63fde0583,,,,
08893aa7-b0ef-4086-9e05-7460149edda4,,db8780b8-19d9-4590-b885-108353c499d5,bcb5a6c4-8eea-4e46-bc52-e2eb29ae265b,4a2e8352-8e10-4a70-b539-14e406a6246d,08b7803c-0875-4da6-bb45-709d48b483ea,,,,
38144154-3b40-4ccc-ad2c-e25f1d6132aa,,e47ee830-4abf-45a1-859a-5755248995b8,3d68daf7-5342-43e4-95d3-e67f8888cdcf,a0e39729-63b1-48e3-9341-1e27c1938c2b,7cb57c2c-ea7f-4e4d-88f3-3b5f9ba8f5c6,,,,
fce3147a-a1d3-47ad-bf16-d7e36a36a046,,9e487e4f-cdf9-44a1-a4cd-6bd7916c628f,15807ed1-0fbc-44c6-9530-46ea2af89073,5fba0678-dcfe-4bda-b3e9-9285bba157bd,b9f61fa6-9b25-438f-9ab8-17a6d086b869,,,,
1085e486-d34f-49d4-a7a9-fcf6a9c37829,,39deb67f-bd83-4256-9b8e-16eb36be8a11,643b5330-83a5-47dc-aa3a-517922c50329,93dc5efb-4971-4a8c-95ea-065ebdfb7337,8db62ecd-b3c5-4983-ae8e-42d850d4d008,,,,
