id,mgi_id,jax_stock_number,rr_id,parents,children,strain_id,shipment_id,discriminator,created_at,created_by,updated_at,updated_by
e5f96d66-9da1-4aaf-a8fb-844fdd7271eb,,,,,,565ffe6e-bb21-4fcb-9864-5e9f04c38113,,,,,,
fd6aaab5-192d-42c4-9f45-8338240c581a,,,,,,0961b93c-c376-4fad-a82a-c8a1268b17c2,,,,,,
d0312036-4832-4402-9cdc-afd37455b034,,,,,,6ef9fc20-858e-49d0-b919-39f8689b75a3,,,,,,
84f33b4b-7092-4d6d-9a3d-f2862a0c355a,,,,,,b84d4c21-fa69-4cc9-a911-74fa50b6c560,,,,,,
dc644a7a-7266-4960-bb50-dbf2d0ad7661,,,,,,2df4e569-10d3-4908-9a5e-5864af2b8898,,,,,,
7db23983-b0b2-4f28-9fca-398fb85c2cc2,,,,,,6090f1bd-bd90-4304-80a5-6229a80f10af,,,,,,
981bd568-ccb5-4a76-8bd1-d87756c76f6f,,,,,,30696c71-e4dc-47b9-b74d-ec400bff7291,,,,,,
aa6613ce-9853-409b-80c3-d04fac3f0302,,,,,,a7d80875-479d-4f46-ad55-0231c5dbf922,,,,,,
5cdcde20-8268-4bf9-8240-8b3399c7e0af,,,,,,4d87cab8-f00f-4782-9bec-c84bb72cd7b3,,,,,,
063a64d1-4485-4b44-93a8-d0bb160c1fae,,,,,,d2858c92-a589-4175-adc0-c09e3cda0804,,,,,,
33e1b2a5-be6c-468b-91aa-32b589eb873a,,,,,,f559df41-4534-43ed-9572-daa30432ab04,,,,,,
001e0483-880d-4662-880c-8801d1919c74,,,,,,09723494-790a-47bb-b87d-2046d5c11a7c,,,,,,
17355e7c-8cd3-4bc3-a2de-5cebf6c5bcd6,,,,,,767fdead-d16a-4aad-9981-7b9f502759be,,,,,,
6ed53c47-6785-4eb0-9a91-39bd42276cc3,,,,,,0e208abd-9e8f-425d-b9d3-d526117691f6,,,,,,
6a715ead-7827-47ea-914c-feaa04e05d9b,,,,,,91f27e73-7674-4cc7-a836-2be59a162038,,,,,,
cfdbb5c3-1c47-492e-bd0e-8b8acdb381fb,,,,,,0fdbb511-feac-47fa-b91d-8d0345dc92b5,,,,,,
2f58ef62-5213-4571-95dc-142690a1944e,,,,,,3d3054c2-9c9c-4569-b48a-79a2d570a6b6,,,,,,
014b436b-5bc5-48eb-9459-127156e02409,,,,,,1c3607cd-67b8-4fe8-a302-8916c6f91b3b,,,,,,
187a9ba1-8c5f-4e32-8e20-b49b9305a5a7,,,,,,767fdead-d16a-4aad-9981-7b9f502759be,,,,,,
4062607d-4948-49d8-a45a-9359ac046845,,,,,,df901cdb-47d2-4c4c-a56c-220224baa776,,,,,,
467b764b-a1f8-4c00-b877-b92b92e5348c,,,,,,3b040f65-c7e8-4245-813e-e135e2c422ee,,,,,,
83efeb0b-ee83-4108-8103-372561c528e7,,,,,,ace69473-99ac-4053-9c0e-0f33887a81a8,,,,,,
96eae6af-2b7c-4d2d-8f91-73c437637d51,,,,,,f8fa1d31-acfb-4d43-9f49-b9c13024d1ea,,,,,,
7ba826e4-cefe-45ad-853b-196f25b354c3,,,,,,739e53c8-5fdb-4c6d-8d3a-afb767bfdc27,,,,,,
7a111a76-4453-4eb0-a52d-6712ba439e64,,,,,,cfc29cd0-a3fd-4128-85af-03bbf4c8521f,,,,,,
