molecule_id,virus_id
cc62ae09-94f3-446f-b36d-fb7cb7333025,c9f26bc6-62f3-4941-a741-d669f6a7b87d
273f4600-dfa6-40cc-a9b1-333133fa5fc1,682c0c9b-0b59-46aa-931e-a94683d2d202
7f3aacff-9b21-48b8-b0af-55f72e6a56c1,3b4d381e-1bdc-41db-83ff-21325871ce04
bfd5668c-ebf9-48e5-9357-b6acacf4a4fc,4d6142dc-8b68-4f62-ae1d-df916e79b7b8
c7502215-436d-47ed-947b-08a72041c2c6,795fcc67-bd72-427d-8b37-51152bd61e9c
ad3cf93b-7870-46e0-adc5-0070909dd6c4,e6feda7b-9e13-4397-b4d6-edbae33fe957
fed374af-d537-4819-b0d6-9643de3d3f13,c5329f94-c61e-4429-8265-9103550761c6
ef06cf41-5fb2-43aa-ae84-8a5661b03e43,66b90427-babd-4131-a4b7-7803e51f2a05
99a69bf3-ddd5-4019-a5a1-8f7b18d3dfc7,c5329f94-c61e-4429-8265-9103550761c6
ac84a2ef-a72c-4462-873e-bf83950373cd,e8018c15-9996-4118-8bc5-2596e0724fef
9f6f9275-5a3b-4b7d-ba04-00e7e3c1929b,3d3c16ca-803b-4afa-bede-074b2f6a832d
8c033885-5aad-45b1-8b5f-9c32a84d284a,68823058-af7a-4870-91b7-dc5e61d24a62
177a40c0-47aa-4aa1-91c8-c58345e75cba,a84c6cf6-28e9-4600-a572-4f5838d5ef23
d75b11e6-d802-4c12-97f8-7104e0842c52,4173dea5-ba52-4ff9-a308-efe6e8138f62
4a8d71a1-30b6-41ee-8bc3-7c047e2597f7,66b90427-babd-4131-a4b7-7803e51f2a05
d9323e57-5a4b-4a8a-a546-12e328bd0b1e,3d46c2e8-8954-40f4-bddf-5ef46c63c4b3
49acd537-bb58-435e-b41d-3b257ec7cc64,f6789ad9-897c-4801-a3d5-47c1e46d7481
5d2cfc43-ea67-45e4-b3ac-f416281379fc,a84c6cf6-28e9-4600-a572-4f5838d5ef23
dc0d60dd-edf5-4d2f-8c66-f8925a36eea5,79a447ca-c85a-412e-af3a-d512df0c19f2
012931be-f340-4982-8728-d23098f35e32,547e53f2-d9a4-4f42-adb9-1c3f1cc9f7a7
4a8d71a1-30b6-41ee-8bc3-7c047e2597f7,ebc58382-88ca-47ad-b7e4-d78c3e1d30e8
2c255d9d-7f63-4946-91ac-f68c9ba813a3,c108ccee-3cc9-4317-a714-9a47b3d318ae
fed374af-d537-4819-b0d6-9643de3d3f13,f532b0f2-e172-485a-b985-b4f272d7fe84
d3eb44ee-bfd4-4496-b4dd-58ddb3cd735b,682c0c9b-0b59-46aa-931e-a94683d2d202
fed374af-d537-4819-b0d6-9643de3d3f13,2cd55458-ea8d-408a-92f1-70fc2c0c9ce2
