id,organization_id,group_id,contact_id,created_at,created_by,updated_at,updated_by
8b68424d-97d0-4416-9a98-abaf09364455,51cb10f6-a489-4d9d-93f0-291357c969d4,7c71b528-33f6-41ab-bf67-6b0d84ab7b05,f20863de-fc5b-4f6c-bebc-b7c78eb38601,,,,
ee1ffd8e-d03f-4fa8-9ab8-8224e2c6fdef,b96c0bfc-6e2d-4ed7-a685-b0040d2ea469,d856a38d-bfc9-4eab-a896-e6ae43529e85,940dfac6-eb98-431b-a8f4-33d0faf29d0a,,,,
26bd9786-806c-485a-b69b-ed71d7a5a1bd,8e05c543-8ff2-4b4a-969f-a51229a8dd4f,2d9779eb-ab69-428f-bdc3-b51a77e83fe4,fddfdc86-af1c-4042-993c-e907e15a808d,,,,
34c401a2-e1da-4a8e-b687-77d20150de00,b71a95c0-7ef5-4e0e-b72e-8439272a710e,d4fdbaf4-6d98-4d06-8e61-e3759f6a6007,595ef064-453d-48ca-9986-2613b589689e,,,,
b3d99b8d-e70e-47cc-bf3b-ac6364e1f5d1,4271aa1b-a5db-488e-b539-04d8da08de33,b16db7db-7532-4234-9870-16eab12fc071,5bd05352-b204-4678-b6e7-33139b0bf970,,,,
1db2ac05-17b3-48ef-8864-34376607506b,c0a830cb-d887-4af1-a05d-ecc38155bb77,3357b09f-9a64-4f79-a1c9-387340a6f8da,b8841a6d-add8-4d66-8f1d-e2cfd54b6d1c,,,,
db28f261-3a55-4c38-b78d-f5c86d86eebf,b403230d-d316-4f40-8683-b106c0c3f78e,4271aa1b-a5db-488e-b539-04d8da08de33,a49126d4-ab86-4827-ac13-7a87b90dd2c8,,,,
24439870-8839-4d24-aa8d-075e98002f5f,9a1ae1fa-e6ec-4e0b-9e6c-aaaa863df084,61dd67d1-6727-454d-8404-e80db01139c6,b279b721-01c2-45b1-8ee3-0717e5bcce44,,,,
310f061b-e572-474c-85d3-631a73be0351,8ed78e70-0f57-4684-b2ee-d171e3d457c8,ee46f35e-a609-43c3-8c44-f6eecca305bf,5aae7db0-973a-499f-94d7-dff983c4aad1,,,,
cc8d7ca2-028a-4ec7-9c22-1974a3b5896e,d856a38d-bfc9-4eab-a896-e6ae43529e85,b7872730-ffb2-49f3-b9ee-9cbbc2c7a9d4,9e383931-7984-4183-8b1b-3df6ed028de4,,,,
3081c7c2-0c23-4cb4-bcf7-8977d6d90685,b8cac49b-9ea8-4062-b69f-4d2f21d9fb01,3351a461-c281-4de6-af57-6e0a623d3423,35013655-8181-497a-91f3-ffea16f7a26e,,,,
c0cf16d9-d77f-4690-9eae-958d5ec49d34,a669a1c6-1ba6-4b2b-908e-7804166702c1,dbbc4d91-4c16-4a6d-aed9-7978014bcef4,956defe6-1383-453e-b936-69ee53440a87,,,,
7d6080d5-410a-4dfd-b5a0-ba397d887128,80af5450-8fe8-4b01-a175-419775ddc4e0,748457f5-db8e-4107-94bb-e08d374d4dcd,586aa594-0cbd-42e4-a945-ea78d712c7a8,,,,
4709c79d-7334-400d-886b-5531a2828743,b8cac49b-9ea8-4062-b69f-4d2f21d9fb01,54d3e7c3-41c3-4b9d-8c7f-9e57adbf9727,c34d9f85-35c7-465d-90aa-e6e582f920df,,,,
bd7e6b6b-6549-424a-bedc-2e54e8745e53,aa10171d-18be-4bed-9a74-b639521eb170,3c9a3804-2cad-4fe3-a3df-8660cbdf8e9a,bce9bb12-356a-4f90-8a78-f375fcd08cc0,,,,
38e7f0a3-52ee-4b10-abbf-3513159f418b,bfd2ef42-c8c0-4110-a8d9-7f33adda4fef,6a28f2c8-b520-4743-9d6d-c078873914ab,14e4620c-90fa-4fe5-a8ea-6ec517a9ef25,,,,
b6b75431-3e18-4d5f-aaeb-c3972de845bc,bfd2ef42-c8c0-4110-a8d9-7f33adda4fef,61722dff-a36a-4985-bd95-a98ea9f0b08f,992a603b-fe12-4eab-9ab2-16646e257fd4,,,,
7aad1a99-2167-46ac-814e-7ec9de25ed9b,af0ba8b8-ddda-43a0-a4ea-17a57878f775,e8680004-6cff-4e96-9017-7f79b2e6b07f,872b3a2e-bd1d-44eb-9a77-459535e4a946,,,,
f5c4811d-93fe-4826-9653-fa95b9df7649,deae5044-fa69-490f-80cf-976a9d2eb81f,a8088389-3e79-4de3-983e-9c63136ef837,67e5139c-6341-49dc-a7ad-a3abd7043c5b,,,,
61cd5ddd-a5bc-44c3-9fce-ea9c7f89b060,873f2e7e-749b-4296-8a43-eb0ef7e8c5e9,082b6310-77e6-4cf8-9295-5bafdfdd40a2,ef8d0cfc-3887-442d-bdaf-fd5166bf247e,,,,
c9c61f45-e428-448c-9835-0292aa965252,7f398ddb-a707-4e5e-a8f3-fcf682f52484,b7872730-ffb2-49f3-b9ee-9cbbc2c7a9d4,0d277894-0a17-416a-9b08-a8a8eaee904c,,,,
9083e1b9-5fe6-48f4-adaf-5c29c5bdbf38,020ce8c2-7462-4be4-97aa-cc0332f9d2e0,6034c718-b5e6-4819-9390-a366103c06bf,937105cb-e6dc-48d8-b952-98354f4e541d,,,,
1851387f-db5d-4beb-a0ff-b02afed2b083,f68d8b28-e1ba-4e42-a1d2-0796f60a3314,cb0f714e-b2e8-425e-8bab-ede4e04e8c65,a3893adc-8718-41f6-98dd-091c1284f767,,,,
3fc9c705-2663-4aea-9e26-5ff72decc4ab,dabafb6f-c631-41fb-bb7a-c0c1b5924d29,f4a787f0-c35f-49cb-b3e1-b7429be47ea8,9044a99d-588c-4504-ad99-152ac69d24f1,,,,
85f45970-f9ac-4fb0-a406-e511b18971d3,6a28f2c8-b520-4743-9d6d-c078873914ab,3a514586-80ab-477d-9206-e95d717e5061,ce0f2294-a0b3-40cb-9111-916e5083b087,,,,
