molecules_id,shipments_id
2a5d91ec-0b4c-4103-a7b5-84bf90454c26,01f1952f-7cd7-4f01-81a8-795d54c828b3
25d47074-1e53-4e2b-9535-e2863d705db5,1e4478de-9952-4aff-91ad-b24d57eab1b7
ae030416-0ee7-44ef-8c6c-322e6d24d4e7,03852a0f-692a-451b-be8b-57ac276870b0
f1654ef1-0ba1-4de1-8fb0-936451e2087e,4f99a15d-df38-430c-a0d3-a7e76444c233
fdcc021a-c081-4c4e-9788-0b22dabb6bc3,c3ac8144-d172-4da0-be1b-21ab78451736
891c2f0d-2d75-44bb-aa01-74cb44823d41,d4c934f1-c26f-40a6-9a7d-e147ae860362
88786883-2795-4b3b-9add-ea22a3c142d8,007702ef-69fb-4839-8a96-153a3f2d0f36
7306aa67-7b3a-4a0d-9c1c-3522d582ed8f,2b6a65b0-0ee4-45c9-84c1-2cecf65e440d
391a6614-bfe2-4a08-9b71-1ec90411de75,9bf363e3-f430-412a-a3fe-0f4f08347fa8
778db515-62a1-4951-9a1c-acce2bf2bc5a,14fb102a-e1f9-4bff-9d34-19829b98a6b1
e9c9d4e8-094b-42b7-8b29-0ba560d7cb95,f321ccae-21cb-4b2c-aaf7-9e3dd234dd6e
f2a5ed58-86dc-4240-8b07-54a2f36e2693,8b985bca-3b20-49c3-9b23-2f8e160896f5
da44db18-773f-48ef-b158-c2855d76cf4c,6632c673-49b3-41d5-8b06-80ec92b8e011
6b6c7648-59c9-43aa-8272-2c8b8d521a80,2b6a65b0-0ee4-45c9-84c1-2cecf65e440d
cc9243a5-cc99-4bf2-ac21-e1610921842b,70cef819-123a-45c3-979b-5dd155cb48cd
d9323e57-5a4b-4a8a-a546-12e328bd0b1e,02132198-552c-4803-9708-3f029716ca5f
2d62a616-3bac-4be3-8414-a4d2c6697b31,90d06ded-8d07-4e32-b9e2-4d81ba009b5c
d48be170-9932-4f1d-925b-ec3f5996c1f5,706e1f21-4f4c-4171-943b-c4792f5f14fd
223d1540-8a79-4468-b96c-01e0439d852e,572651e2-dd85-4c5f-8883-c50d93631aba
73d8b116-5d4a-4ade-b952-22389b5d496c,879b40a1-64ed-4bda-b69c-94a77c32b47e
cedd5cc2-4f54-4995-a174-52f6af083949,3135ab3b-4ee8-4234-9df7-ac7e88d18653
203b16ad-c4ea-40a3-b60c-15701929942c,80a2e020-ef9e-46d1-aeaf-c0b7ed23ce1e
0697ca24-2cbd-494b-bd68-67391df0dd9e,6cfceec2-eae7-47fa-af04-4b84ae7fb08a
92205d77-39b9-45e3-a21b-7f802fcdd27c,03852a0f-692a-451b-be8b-57ac276870b0
10d4b394-b38d-494a-ac6b-228198f5de52,fb8e12c8-b4f1-40e4-952b-80eeafa13c50
