mouse_lines_id,shipments_id
72357404-6895-4dfc-b075-0d60fff6c696,f99b6f98-5bc3-402f-9681-7b848355094b
4a1dd992-042c-447d-af10-6b7b0211ecbe,82fbe86e-8897-4f92-b443-f12383bf1406
d1d772c5-47a6-468f-9ccd-6653bb49db64,ad2c991d-2cb4-45bf-b600-ea1886243952
c9a7727c-5b64-491a-a23d-2a6c97d98044,1c189981-ac8b-4ede-8c41-3921807ffd8a
be881b21-3247-4eb0-aed6-a85343af9c9a,07878fc5-98b1-476b-ba4c-0c0b22578eec
2f5deced-1822-4135-a360-08d5ccfaa1b2,64eb081e-a177-4d66-8dea-bbeace67d136
2ddef620-eb9f-4e6d-a5a5-d03098ab6ca6,cdcd0907-145c-48f0-9a27-a53a90d33ba2
9d25425e-cdca-4740-973c-7c7b2ddcfa48,8e4938e5-31d1-4198-adec-ac99a38105bd
78c152b8-4425-489f-9e02-0f3c217c694d,179869b1-266b-4783-bd9f-243d88d3bcd6
d24337cb-4b10-4a6f-8a15-3b375c2bae1e,0454132a-1679-4782-a267-d16e73a08b8d
51c2f8f4-d095-4af1-a81f-079f8a7bfac6,f6340755-1ee1-4fa1-a8cd-8583befe0641
d1d772c5-47a6-468f-9ccd-6653bb49db64,1cc600aa-7b3e-4069-9608-6628ecfbf5e8
9acff665-c73f-4527-9e03-c21dc626ffd5,4f99a15d-df38-430c-a0d3-a7e76444c233
3afa0640-4a72-4354-ae89-f05d6f3362a3,03852a0f-692a-451b-be8b-57ac276870b0
e3af764f-bb6b-4354-99b9-3262fd749417,abed86b5-9e41-49c0-8568-6afa52854195
623ce685-79b7-414b-b5de-232dd065aa86,ff95d56c-18c6-4219-bedf-ca20aac93df0
09273629-b22a-4eec-a4e1-071ec257c9f4,179869b1-266b-4783-bd9f-243d88d3bcd6
9152c330-a4ff-4086-b882-358537f8851c,30710e7f-9b65-4f2b-bbdd-96a699c7f8fa
f7d63afd-4f50-4bf8-84be-ac79be13d7a5,2b6a65b0-0ee4-45c9-84c1-2cecf65e440d
2c79cfcd-7b12-47f0-8584-39bc3ad0ab8d,db2d17f0-5d05-406c-8339-f848b7d1b0c0
8413cd2f-b3be-4912-8968-b247069fea83,987caf33-8c90-4498-817d-0596445f10c1
90306089-6f6f-448c-9fed-1206c515cbae,9bf363e3-f430-412a-a3fe-0f4f08347fa8
ca6d1874-b1c2-41f4-99ab-c89cff40670c,90d06ded-8d07-4e32-b9e2-4d81ba009b5c
a6e36ba0-d793-49e9-9d4a-bc41e6e4b48e,08b1f1ed-ee47-42cb-aa88-a0c32bf5c51d
64ed6037-6dbd-4776-8f64-000f15f26c49,db2d17f0-5d05-406c-8339-f848b7d1b0c0
